original_language;popularity;title;vote_average;vote_count;price
en;14,382289;Patton;7,3;327;6,99
en;8,843551;Down by Law;7,2;149;6,99
en;9,718713;Cool Hand Luke;7,7;390;7,99
en;9,339316;Young Frankenstein;7,7;880;7,99
en;8,291886;Night on Earth;7,5;165;7,99
en;9,241748;The Great Dictator;8,1;756;7,99
en;8,03796;Fantasia;7,2;831;6,99
en;16,715935;High Noon;7,6;343;7,99
en;6,987617;The Big Sleep;7,6;244;7,99
en;13,311827;Heathers;7,3;387;6,99
en;5,429213;Somewhere in Time;7,1;104;6,99
en;14,319743;Ben-Hur;7,5;660;7,99
en;13,981499;This Is Spinal Tap;7,6;413;7,99
en;8,802715;Koyaanisqatsi;7,7;140;7,99
en;14,788987;Indiana Jones and the Last Crusade;7,6;3221;7,99
en;12,320636;Being There;7,7;243;7,99
en;12,383755;Gandhi;7,4;730;6,99
en;6,773407;Pink Floyd: The Wall;7,7;363;7,99
en;11,460364;The Killing Fields;7,5;180;7,99
en;6,379966;Forbidden Planet;7,2;238;6,99
en;16,759454;Field of Dreams;7,1;383;6,99
en;6,189816;The Man Who Would Be King;7,6;148;7,99
en;6,714577;Butch Cassidy and the Sundance Kid;7,4;659;6,99
en;11,635837;Paris, Texas;7,7;282;7,99
en;8,34322;When Harry Met Sally...;7,3;974;6,99
en;13,390802;An American Werewolf in London;7,2;571;6,99
en;11,591462;The Birds;7,3;959;6,99
en;16,777675;Dracula;7,1;1087;6,99
en;7,000417;Bride of Frankenstein;7,4;208;6,99
en;7,583191;Cape Fear;7,2;125;6,99
en;13,694713;A Nightmare on Elm Street;7,2;1212;6,99
en;16,641277;The Omen;7,2;485;6,99
en;11,664053;Shine;7,3;136;6,99
en;9,475693;Sling Blade;7,4;236;6,99
en;1,686358;Paradise Lost: The Child Murders at Robin Hood Hills;7,9;38;7,99
en;7,160236;Star Trek II: The Wrath of Khan;7,3;688;6,99
en;7,854899;Grease;7,2;1633;6,99
en;0,83621;Terror in a Texas Town;7,1;13;6,99
en;19,726114;Jaws;7,5;2628;7,99
en;14,011415;Raising Arizona;7,2;548;6,99
en;15,228794;The Last of the Mohicans;7,1;747;6,99
en;10,177086;Walkabout;7,4;111;6,99
en;0,775616;Angel Baby;7,7;3;7,99
en;15,975485;The Cement Garden;7,2;23;6,99
en;8,130999;Waiting for Guffman;7,4;66;6,99
en;1,954656;That Old Feeling;7,1;15;6,99
en;12,201954;Donnie Brasco;7,4;1175;6,99
en;1,251862;Love Jones;8,1;12;7,99
en;7,390306;Selena;7,1;115;6,99
en;3,406836;Cats Don't Dance;7,1;25;6,99
en;24,30526;The Fifth Element;7,3;3962;6,99
en;0,684192;Dream with the Fishes;7,7;10;7,99
en;14,048694;Hercules;7,3;1741;6,99
