original_language;popularity;title;vote_average;vote_count;price
en;11,266569;Eddie Murphy Raw;7,4;106;6,99
en;10,220906;Empire of the Sun;7,3;491;6,99
en;10,421679;The Evil Dead;7,3;913;6,99
en;0,313628;Simon Magus;10;1;9,99
en;0,995919;Of Mice and Men;7,3;19;6,99
en;2,407454;The Unbelievable Truth;7,4;18;6,99
en;6,409512;Elmer Gantry;7,3;41;6,99
en;10,704813;Enemy at the Gates;7,2;1023;6,99
en;15,450789;Memento;8,1;4168;7,99
en;12,332223;Blow;7,4;1352;6,99
en;0,986251;Kingdom Come;8;1;7,99
en;11,299673;Scarface;8;3017;7,99
en;3,942198;Days of Wine and Roses;7,5;39;7,99
en;17,987728;Shrek;7,3;4183;6,99
en;13,691781;Moulin Rouge!;7,4;1348;6,99
en;4,861698;Eight Men Out;7,5;63;7,99
en;13,971865;Mississippi Burning;7,4;336;6,99
en;10,650752;The Magnificent Seven;7,4;472;6,99
en;10,847383;Rio Bravo;7,6;265;7,99
en;11,354247;The Sand Pebbles;7,2;59;6,99
en;7,174547;Gentlemen Prefer Blondes;7,1;169;6,99
en;9,503157;Baby Boy;7,3;57;6,99
en;6,641827;The Man Who Shot Liberty Valance;7,4;272;6,99
en;3,150237;The Day the Earth Caught Fire;7,3;28;6,99
en;3,922641;All That Heaven Allows;7,4;66;6,99
en;7,224904;Kiss Me Deadly;7,1;81;6,99
en;7,056355;The Lion in Winter;7,6;89;7,99
en;5,196222;Sweet Smell of Success;7,5;108;7,99
en;2,047132;Michael Jordan to the Max;7,5;10;7,99
en;1,69806;Imagine: John Lennon;7,3;25;6,99
en;6,258984;The Return of the Living Dead;7,3;270;6,99
en;11,292364;They Live;7,1;562;6,99
en;6,657723;Let It Ride;7,1;28;6,99
en;10,018693;Miracle Mile;7,2;50;6,99
en;5,460971;Ghost World;7,1;433;6,99
en;4,446806;Hedwig and the Angry Inch;7,4;81;6,99
en;6,813784;Santa Sangre;7,1;73;6,99
en;1,730199;Black Robe;7,5;18;7,99
en;8,624922;The Shootist;7,3;85;6,99
en;11,046007;The Others;7,4;1708;6,99
en;0,544866;On the Edge;7,4;13;6,99
en;9,916094;Happy Accidents;7,1;41;6,99
en;7,206941;The Wicker Man;7,1;313;6,99
en;0,838983;Into the Arms of Strangers: Stories of the Kindertransport;7,8;6;7,99
en;13,664622;Training Day;7,3;1665;6,99
en;0,03652;Go Tigers!;8;1;7,99
en;6,469438;Phantom of the Paradise;7,5;101;7,99
en;1,745592;The Little Foxes;7,7;31;7,99
en;2,649605;Pocketful of Miracles;7,3;25;6,99
en;4,739658;Quadrophenia;7,2;76;6,99
en;14,503963;Brubaker;7,1;98;6,99
en;2,847277;Coal Miner's Daughter;7,2;67;6,99
en;0,732917;Divine Madness;8;3;7,99
en;18,184056;Mulholland Drive;7,7;1517;7,99
en;10,255315;Dirty Harry;7,4;630;6,99
en;9,227244;Fiddler on the Roof;7,4;136;6,99
en;12,051214;Waking Life;7,6;250;7,99
en;12,400152;K-PAX;7,1;710;6,99
en;18,303148;Donnie Darko;7,7;3574;7,99
en;4,145598;Life as a House;7,2;122;6,99
en;26,419962;Monsters, Inc.;7,5;6150;7,99
en;38,187238;Harry Potter and the Philosopher's Stone;7,5;7188;7,99
en;2,480798;Now, Voyager;7,1;30;6,99
en;12,114932;Ocean's Eleven;7,2;3857;6,99
en;4,910227;The Incredible Shrinking Man;7,3;91;6,99
en;9,707542;The Royal Tenenbaums;7,4;1317;6,99
en;32,070725;The Lord of the Rings: The Fellowship of the Ring;8;8892;7,99
en;11,93646;A Beautiful Mind;7,7;3087;7,99
en;2,27778;Sahara;7,3;29;6,99
en;5,354787;The Party;7,3;160;6,99
en;9,730217;Witness for the Prosecution;8,1;278;7,99
en;10,064446;Black Hawk Down;7,2;1832;6,99
en;12,935016;I Am Sam;7,2;542;6,99
en;8,48839;The Big Heat;7,9;111;7,99
en;5,570606;Murder by Death;7,4;187;6,99
en;1,014863;Little Dieter Needs to Fly;7,8;25;7,99
en;10,765924;The Count of Monte Cristo;7,3;463;6,99
en;8,054499;A Walk to Remember;7,5;1057;7,99
en;1,396;Heidi;7,2;22;6,99
en;10,392243;The Sandlot;7,1;272;6,99
en;5,966221;Don't Look Now;7,1;197;6,99
en;3,12508;The Bad and the Beautiful;7,4;43;6,99
en;10,387423;Sleuth;7,5;152;7,99
en;0,147295;Maryam;8;1;7,99
en;0,364631;Under the Skin;7,6;7;7,99
en;6,360746;Scarlet Street;7,7;70;7,99
en;10,0534;Gloria;7,2;35;6,99
en;2,875229;Lion of the Desert;7,5;36;7,99
en;11,693374;The Long Good Friday;7,1;87;6,99
en;3,491636;The Ninth Configuration;7,1;32;6,99
en;17,328902;Ice Age;7,1;3954;6,99
en;3,943187;The Ghost Breakers;7,1;10;6,99
en;2,034301;Road to Morocco;7,4;17;6,99
en;0,448461;Serial;7,2;4;6,99
en;9,282077;Slap Shot;7,1;102;6,99
en;15,931069;3:10 to Yuma;7,1;77;6,99
en;7,285627;Lenny;7,2;42;6,99
en;2,700782;Butterflies Are Free;7,3;17;6,99
en;3,930136;I Want to Live!;7,2;21;6,99
en;2,969857;The Last Waltz;7,9;64;7,99
en;16,724836;Spirit: Stallion of the Cimarron;7,4;870;6,99
en;21,040126;The Bourne Identity;7,3;3640;6,99
en;8,019495;Hombre;7,2;55;6,99
en;7,715087;She Wore a Yellow Ribbon;7,1;61;6,99
en;0,575656;Traces of Red;7,3;4;6,99
en;18,469238;Lilo & Stitch;7,1;1371;6,99
en;20,666063;Minority Report;7,1;2663;6,99
en;7,576878;Me Without You;7,1;19;6,99
en;13,426684;Road to Perdition;7,3;1102;6,99
en;2,328043;The Importance of Being Earnest;7,4;23;6,99
en;1,558517;1776;7,1;20;6,99
en;0,531514;Fathom;7,1;7;6,99
en;1,392731;The Mack;7,2;20;6,99
en;3,386374;The Wanderers;7,2;55;6,99
en;12,509812;The Ladykillers;7,3;104;6,99
en;4,546546;The Lavender Hill Mob;7,3;60;6,99
en;0,775503;Charly;7,6;6;7,99
en;2,40977;The Pride of the Yankees;7,1;37;6,99
en;8,355326;Horror of Dracula;7,2;124;6,99
en;0,519465;The Fan;7,3;7;6,99
en;0,674968;Shamus;7,6;5;7,99
en;11,393859;Bowling for Columbine;7,3;467;6,99
en;0,02158;Times Square;7,4;9;6,99
en;1,417079;...All the Marbles;7,3;7;6,99
en;0,708186;All Night Long;7,3;3;6,99
en;7,536295;Blow Out;7,3;243;6,99
en;0,384338;First Monday in October;7,7;3;7,99
en;7,44658;Gallipoli;7,1;111;6,99
en;11,283472;Frida;7,3;397;6,99
en;29,741452;Harry Potter and the Chamber of Secrets;7,4;5966;6,99
en;10,480229;Thief;7,3;130;6,99
en;16,141913;Treasure Planet;7,2;980;6,99
en;11,604242;Zulu;7,4;137;6,99
en;11,624481;Adaptation.;7,3;649;6,99
en;0,102459;Urgh! A Music War;7,1;5;6,99
en;2,008448;Britannia Hospital;7,5;13;7,99
en;29,423537;The Lord of the Rings: The Two Towers;8;7641;7,99
en;10,271871;25th Hour;7,2;640;6,99
en;14,922399;Gangs of New York;7,1;1964;6,99
en;7,591269;The Children's Hour;7,5;72;7,99
en;5,82556;The Duellists;7,1;92;6,99
en;2,711073;A Kiss Before Dying;7,1;11;6,99
en;3,428166;The Thief of Bagdad;7,5;49;7,99
en;19,833077;Catch Me If You Can;7,7;3917;7,99
en;14,811594;The Pianist;8,1;1927;7,99
en;9,093411;The King of Comedy;7,6;306;7,99
en;3,160917;American Me;7,3;41;6,99
en;3,568628;A Little Romance;7,5;11;7,99
en;0,73743;The Smallest Show on Earth;7,1;6;6,99
en;0,192513;The Grey Fox;7,2;5;6,99
en;4,160035;Monty Python Live at the Hollywood Bowl;7,2;37;6,99
en;0,039514;Starstruck;8;1;7,99
en;0,57266;Stand-In;7,2;3;6,99
en;2,46167;A Patch of Blue;7,6;27;7,99
en;9,930326;The Life of David Gale;7,3;497;6,99
en;1,460923;The Safety of Objects;7,3;13;6,99
en;3,657476;King of Kings;7,2;31;6,99
en;8,105442;The Awful Truth;7,2;48;6,99
en;6,331826;In a Lonely Place;7,5;103;7,99
en;4,835446;Ghosts of the Abyss;7,1;39;6,99
en;6,632663;Straw Dogs;7,2;230;6,99
en;17,955897;Identity;7,1;1090;6,99
en;2,445503;Spellbound;7,2;43;6,99
en;0,601936;Washington Heights;8,5;3;7,99
en;4,534136;High Society;7,2;48;6,99
en;0,446688;Cinemania;7,1;10;6,99
en;25,497794;Finding Nemo;7,6;6292;7,99
en;4,453296;Capturing the Friedmans;7,4;112;6,99
en;3,589888;The Swimmer;7,4;38;6,99
en;1,47155;The Railway Children;7,1;25;6,99
en;6,275958;Winchester '73;7,5;72;7,99
en;8,387026;Barton Fink;7,4;450;6,99
en;1,171051;The Song of Bernadette;7,4;16;6,99
en;2,608222;Thoroughly Modern Millie;7,1;26;6,99
en;17,656951;28 Days Later;7,1;1816;6,99
en;0,762672;Jesus;8,9;8;8,99
en;3,427108;What's Up, Doc?;7,3;74;6,99
en;47,326665;Pirates of the Caribbean: The Curse of the Black Pearl;7,5;7191;7,99
en;2,625315;I Capture the Castle;7,1;26;6,99
en;3,044499;One, Two, Three;7,6;66;7,99
en;5,725912;The Magdalene Sisters;7,4;114;6,99
en;0,003013;Brother's Keeper;7,4;14;6,99
en;7,05435;American Splendor;7,1;121;6,99
en;6,216637;Wait Until Dark;7,5;112;7,99
en;0,102743;The Business of Fancydancing;8;2;7,99
en;1,336759;Tunes of Glory;7,1;14;6,99
en;9,753718;Kind Hearts and Coronets;7,6;109;7,99
en;10,44551;The Red Shoes;8,2;124;7,99
en;11,609441;Lost in Translation;7,3;1943;6,99
en;6,471879;Paper Moon;7,8;154;7,99
en;7,945039;Videodrome;7,1;464;6,99
en;9,697105;Judgment at Nuremberg;7,6;161;7,99
en;1,974016;The Song Remains the Same;8;23;7,99
en;5,748536;Seven Brides for Seven Brothers;7,1;117;6,99
en;12,421754;All the President's Men;7,6;424;7,99
en;6,866506;Boyz n the Hood;7,4;377;6,99
en;11,085432;The Meaning of Life;7,2;506;6,99
en;12,088407;Where Eagles Dare;7,4;233;6,99
en;0,003013;Sunday in the Country;7,8;2;7,99
en;1,184996;Sudden Fear;7,1;20;6,99
en;0,607812;Murderous Maids;7,2;9;6,99
en;3,658274;Yankee Doodle Dandy;7,4;57;6,99
en;6,735297;The Devil and Daniel Webster;7,7;20;7,99
en;5,85469;The Station Agent;7,4;213;6,99
en;12,602438;Mystic River;7,6;1473;7,99
en;25,261865;Kill Bill: Vol. 1;7,7;5091;7,99
en;0,469538;Gypsy 83;7,4;8;6,99
en;4,898537;Normal;7,2;12;6,99
en;7,335241;Interstate 60;7,1;136;6,99
en;2,134728;Sherlock Holmes and the Voice of Terror;7,3;18;6,99
en;1,454775;Sherlock Holmes Faces Death;7,2;16;6,99
en;2,409278;Tupac: Resurrection;8;26;7,99
en;6,372278;21 Grams;7,2;943;6,99
en;4,407775;Tales from the Crypt;7,2;52;6,99
en;5,219641;Invasion of the Body Snatchers;7,1;231;6,99
en;7,892337;The Night of the Hunter;7,9;335;7,99
en;8,748084;Silverado;7,1;147;6,99
en;6,363505;Follow the Fleet;7,1;10;6,99
en;5,551702;Little Women;7,6;34;7,99
en;6,507597;Swing Time;7,1;47;6,99
en;2,307369;National Velvet;7,3;23;6,99
en;4,980716;Jesus Christ Superstar;7,1;146;6,99
en;6,09018;Red River;7,3;85;6,99
en;7,970462;Stagecoach;7,6;216;7,99
en;6,872888;A Shot in the Dark;7,2;115;6,99
en;3,940121;The Court Jester;7,7;47;7,99
en;11,277226;Jezebel;7,2;39;6,99
en;4,42224;The Hunchback of Notre Dame;7,6;34;7,99
en;5,526401;Play It Again, Sam;7,4;111;6,99
en;4,340461;Ryan's Daughter;7,6;24;7,99
en;3,651233;Adam's Rib;7,2;71;6,99
en;9,587994;A Night at the Opera;7,6;109;7,99
en;19,582325;The Last Samurai;7,3;1946;6,99
en;14,739983;Big Fish;7,6;2064;7,99
en;29,324358;The Lord of the Rings: The Return of the King;8,1;8226;7,99
en;3,502005;Aileen: Life and Death of a Serial Killer;7,6;32;7,99
en;1,893149;The Enforcer;7,4;21;6,99
en;0,288597;The Court-Martial of Billy Mitchell;7,4;7;6,99
en;8,869419;My Darling Clementine;7,5;82;7,99
en;10,003167;To Have and Have Not;7,6;112;7,99
en;6,287228;Dark Passage;7,2;81;6,99
en;5,546182;The Ox-Bow Incident;7,9;71;7,99
en;7,005083;D.O.A.;7,2;46;6,99
en;4,282118;Intolerance: Love's Struggle Throughout the Ages;7,4;63;6,99
en;1,945528;The Out of Towners;7,1;24;6,99
en;12,994939;The Butterfly Effect;7,3;2119;6,99
en;6,685981;The Dreamers;7,2;680;6,99
en;1,411831;Let's Do It Again;7,7;10;7,99
en;1,595591;Simple Men;7,1;12;6,99
en;5,184013;Vanishing Point;7,1;110;6,99
en;3,878515;The Thief of Bagdad;7,4;37;6,99
en;9,042737;Goodbye, Mr. Chips;7,2;30;6,99
en;6,366499;Pickup on South Street;7,2;57;6,99
en;12,906327;Eternal Sunshine of the Spotless Mind;7,9;3758;7,99
en;19,24201;Dawn of the Dead;7,4;597;6,99
en;6,583161;After Hours;7,4;251;6,99
en;21,533072;Kill Bill: Vol. 2;7,7;4061;7,99
en;9,635691;Man on Fire;7,3;1583;6,99
en;10,687757;Enter the Dragon;7,3;489;6,99
en;2,336022;The Rolling Stones: Gimme Shelter;7,8;42;7,99
en;2,030279;The Three Faces of Eve;7,3;24;6,99
en;4,225974;Fail-Safe;7,6;83;7,99
en;2,323028;Pride and Prejudice;7,3;32;6,99
en;8,243107;Chaplin;7,5;243;7,99
en;4,368765;The Miracle Worker;7,5;65;7,99
en;2,614074;The Bells of St. Mary's;7,3;42;6,99
en;4,750686;Animal Crackers;7,2;45;6,99
en;6,222085;Jason and the Argonauts;7,1;138;6,99
en;11,457298;The Warriors;7,4;451;6,99
en;2,750367;Ice Cold in Alex;7,5;14;7,99
en;7,201727;After the Thin Man;7,1;30;6,99
en;3,624542;Woodstock;7,1;67;6,99
en;1,672384;The Internecine Project;7,8;4;7,99
en;1,175665;Love Crazy;7,9;6;7,99
en;5,781236;Pat Garrett & Billy the Kid;7,2;67;6,99
en;3,102999;Ride the High Country;7,1;40;6,99
en;2,329204;A Night in Casablanca;7,3;30;6,99
en;5,94179;Zelig;7,4;209;6,99
en;4,297965;The Killers;7,6;81;7,99
en;14,14735;The Power of One;7,6;46;7,99
en;12,389626;How to Steal a Million;7,5;133;7,99
en;8,212399;Mean Streets;7,2;359;6,99
en;8,741855;I Am a Fugitive from a Chain Gang;7,4;47;6,99
en;4,249695;Sunrise: A Song of Two Humans;7,9;155;7,99
en;4,478691;Lust for Life;7,1;41;6,99
en;4,738446;Captain Blood;7,3;55;6,99
en;1,581449;Baby Doll;7,2;32;6,99
en;6,320225;The Day of the Jackal;7,3;150;6,99
en;2,166408;War of the Buttons;7,2;21;6,99
en;5,465995;Arizona Dream;7,2;170;6,99
en;3,295206;The Most Dangerous Game;7,2;43;6,99
en;2,890527;Make Way for Tomorrow;7,7;37;7,99
en;8,999948;The Caine Mutiny;7,2;78;6,99
en;11,837667;Escape from Alcatraz;7,3;581;6,99
en;6,061655;Oliver Twist;7,5;36;7,99
en;28,460276;Harry Potter and the Prisoner of Azkaban;7,7;6037;7,99
en;1,569849;The Last of Sheila;7,1;25;6,99
en;2,561651;The Adventures of Sherlock Holmes;7,2;26;6,99
en;4,72533;The Heiress;7,7;35;7,99
en;9,080158;The Picture of Dorian Gray;7,5;45;7,99
en;11,300976;White Heat;7,8;92;7,99
en;13,294639;Scrooge;7,5;81;7,99
en;6,254986;Box of Moonlight;7,1;15;6,99
en;9,074348;Freaks;7,7;228;7,99
en;3,933922;The Immigrant;7,5;55;7,99
en;6,486938;A Matter of Life and Death;8;73;7,99
en;4,749049;Dr. Jekyll and Mr. Hyde;7,3;56;6,99
en;0,732382;My Little Chickadee;7,5;4;7,99
en;14,092373;The Terminal;7,1;1974;6,99
en;15,239013;The Notebook;7,7;3163;7,99
en;4,815005;A Day at the Races;7,5;44;7,99
en;1,215839;Now You See Him, Now You Don't;7,2;22;6,99
en;1,044237;Manufacturing Consent: Noam Chomsky and the Media;7,6;21;7,99
en;0,572591;Mayor of the Sunset Strip;7,2;5;6,99
en;9,937706;Angels with Dirty Faces;7,6;74;7,99
en;2,830289;Our Hospitality;7,7;49;7,99
en;4,918293;Johnny Guitar;7,6;78;7,99
en;7,048957;Before Sunset;7,6;734;7,99
en;20,40426;The Bourne Supremacy;7,2;2873;6,99
en;0,739256;Battle Hymn;7,3;3;6,99
en;3,583179;The Enemy Below;7,2;46;6,99
en;0,788244;You Were Never Lovelier;7,8;9;7,99
en;2,250105;The Bachelor and the Bobby-Soxer;7,1;24;6,99
en;2,090768;Breezy;7,2;32;6,99
en;0,422303;The Greatest;7,2;6;6,99
en;2,737464;Mr. Blandings Builds His Dream House;7,2;43;6,99
en;2,063447;My Favorite Wife;7,2;32;6,99
en;1,384302;The Snake Pit;7,1;19;6,99
en;3,467871;Gun Crazy;7,2;57;6,99
en;2,173964;This Gun for Hire;7,1;29;6,99
en;14,902948;Shaun of the Dead;7,5;2479;7,99
en;10,737565;The Machinist;7,3;1280;6,99
en;0,161543;Lightning in a Bottle;9;1;8,99
en;23,508433;Saw;7,2;2255;6,99
en;10,603762;Ray;7,2;481;6,99
en;22,220214;The Incredibles;7,4;5290;6,99
en;1,186847;Fade to Black;7,1;6;6,99
en;15,529604;Finding Neverland;7,2;1269;6,99
en;0,882202;Damn Yankees!;7,2;9;6,99
en;1,048027;That's Entertainment!;7,9;15;7,99
en;1,949044;Control Room;7,7;19;7,99
en;0,037648;Celsius 41.11: The Temperature at Which the Brain... Begins to Die;9;1;8,99
en;5,858328;Sherlock, Jr.;8,1;134;7,99
en;7,518657;Steamboat Bill, Jr.;7,9;66;7,99
en;4,854436;Scarface;7,5;88;7,99
en;2,286647;Gold Diggers of 1933;7,2;29;6,99
en;2,942979;The Scarlet Pimpernel;7,1;14;6,99
en;2,943637;Fury;7,5;38;7,99
en;3,85412;Mr. Deeds Goes to Town;7,3;69;6,99
en;3,225088;The Petrified Forest;7,1;53;6,99
en;0,606441;Show Boat;7,5;4;7,99
en;1,513527;These Three;7,2;12;6,99
en;2,136689;Dead End;7,1;19;6,99
en;0,233653;Double Wedding;7,5;2;7,99
en;5,272355;The Prisoner of Zenda;8,4;11;7,99
en;5,259307;The Roaring Twenties;7,5;55;7,99
en;11,474476;Wuthering Heights;7,4;56;6,99
en;2,601278;The Letter;7,4;42;6,99
en;2,477593;The Sea Hawk;7,2;29;6,99
en;8,206731;Ball of Fire;7,4;38;6,99
en;1,865744;It Started with Eve;7,7;6;7,99
en;0,771401;Gentleman Jim;7,1;12;6,99
en;0,709005;The Hard Way;7,3;4;6,99
en;6,266656;The Woman in the Window;7,5;43;7,99
en;5,344072;Great Expectations;7,2;71;6,99
en;2,092012;Humoresque;7,1;17;6,99
en;5,529394;Nightmare Alley;7,4;27;6,99
en;3,017513;Odd Man Out;7,3;45;6,99
en;8,694857;The Lady from Shanghai;7,2;108;6,99
en;3,826672;The Naked City;7,2;67;6,99
en;3,473029;Unfaithfully Yours;7,8;22;7,99
en;1,537138;The Barkleys of Broadway;7,4;11;6,99
en;3,883222;It Should Happen to You;7,7;7;7,99
en;1,36565;The Long, Long Trailer;7,3;9;6,99
en;7,051183;A Star Is Born;7,1;56;6,99
en;1,1856;It's Always Fair Weather;8,7;6;8,99
en;0,660349;The Last Hurrah;7,5;9;7,99
en;7,902787;North West Frontier;7,1;12;6,99
en;3,473993;The Nun's Story;7,4;46;6,99
en;1,162798;The Young Philadelphians;7,1;8;6,99
en;1,261728;Bachelor in Paradise;7,2;3;6,99
en;2,610391;Advise & Consent;7,5;27;7,99
en;3,651821;Becket;7,2;45;6,99
en;3,285286;Spider Baby;7,1;41;6,99
en;1,706828;What a Way to Go!;7,2;16;6,99
en;5,23652;A Charlie Brown Christmas;7,5;156;7,99
en;3,467376;The Hill;7,6;50;7,99
en;4,412564;The Train;7,2;74;6,99
en;5,352165;Point Blank;7,1;97;6,99
en;14,701129;Two for the Road;7,2;51;6,99
en;3,601834;The Heart Is a Lonely Hunter;7,2;14;6,99
en;3,363154;Colossus: The Forbin Project;7,1;50;6,99
en;1,073128;Goodbye, Mr. Chips;7,1;10;6,99
en;6,258456;Zabriskie Point;7,1;78;6,99
en;4,718102;The Devils;7,4;90;6,99
en;12,331251;Duel;7,2;374;6,99
en;4,261661;Johnny Got His Gun;7,2;65;6,99
en;0,974663;Save the Tiger;7,1;18;6,99
en;0,266127;Butley;7,3;3;6,99
en;1,557693;Conrack;7,1;12;6,99
en;1,848182;Harry and Tonto;7,1;26;6,99
en;1,215723;Hearts and Minds;7,8;25;7,99
en;1,595006;Harlan County U.S.A.;7,7;19;7,99
en;8,119925;The Message;7,4;81;6,99
en;13,966833;Sorcerer;7,5;104;7,99
en;5,259089;Hair;7,3;146;6,99
en;2,442825;The Hitch Hikers Guide to the Galaxy;7,2;41;6,99
en;7,199078;A Christmas Carol;7,1;42;6,99
en;2,496262;The Times of Harvey Milk;7,1;26;6,99
en;2,070503;The Whales of August;7,1;17;6,99
en;0,003553;Tales from the Gimli Hospital;7,4;6;6,99
en;4,617117;Hearts of Darkness: A Filmmaker's Apocalypse;8;61;7,99
en;0,073196;The Linguini Incident;8;2;7,99
en;10,521204;Bad Boy Bubby;7,1;72;6,99
en;5,986773;Fist of Legend;7,4;118;6,99
en;3,205275;Last of the Dogmen;7,2;34;6,99
en;0,565625;No Way Home;7,6;5;7,99
en;0,368794;Bruno;7,4;8;6,99
en;4,030482;The Batman Superman Movie: World's Finest;7,1;53;6,99
en;0,870267;Style Wars;8,1;14;7,99
en;7,872438;Batman Beyond: Return of the Joker;7,5;152;7,99
en;1,661741;Paradise Lost 2: Revelations;7,2;26;6,99
en;0,313267;Southern Comfort;7,8;4;7,99
en;4,558793;Dil Chahta Hai;7,1;71;6,99
en;1,14196;In My Country;7,1;7;6,99
en;4,812815;Interstella 5555: The 5tory of the 5ecret 5tar 5ystem;7,4;79;6,99
en;1,551648;The Visual Bible: The Gospel of John;8,2;12;7,99
en;4,192292;The Corporation;7,6;75;7,99
en;3,260102;Something the Lord Made;7,5;38;7,99
en;14,471373;Million Dollar Baby;7,7;2519;7,99
en;1,733848;The Narrow Margin;7,3;32;6,99
en;10,262332;Hotel Rwanda;7,5;805;7,99
en;0,370507;Born to Dance;8;1;7,99
en;6,936677;The Life Aquatic with Steve Zissou;7,1;781;6,99
en;6,201988;Hold That Ghost;7,1;17;6,99
en;0,227369;Bomb the System;7,5;6;7,99
en;1,086537;The Grateful Dead;7,8;8;7,99
en;0,407729;Distant Thunder;7,5;3;7,99
en;3,336494;Sergeant York;7,1;47;6,99
en;6,870281;Abbott and Costello Meet the Invisible Man;7,1;18;6,99
en;1,099256;Abbott and Costello Meet the Killer, Boris Karloff;7,1;14;6,99
en;11,093737;Coach Carter;7,3;510;6,99
en;1,680612;The Mortal Storm;7,1;15;6,99
en;0,954568;Everyday People;7,3;4;6,99
en;0,954383;The Corn Is Green;7,3;9;6,99
en;1,313858;The Seven-Per-Cent Solution;7,1;23;6,99
en;7,055347;The Four Feathers;7,3;22;6,99
en;0,128722;Courage Mountain;7,1;3;6,99
en;0,417876;My Sister Eileen;7,3;3;6,99
en;0,743598;Girl Crazy;7,5;4;7,99
en;8,164371;Panic in the Streets;7,1;24;6,99
en;1,160323;Speedy;7,8;17;7,99
en;15,010525;Sin City;7,2;2755;6,99
en;0,741503;Bring on the Night;7,8;4;7,99
en;6,675518;Vincent;7,9;217;7,99
en;0,209908;Mutant Aliens;7,8;4;7,99
en;3,971749;Enron: The Smartest Guys in the Room;7,2;75;6,99
en;9,785147;Crash;7,2;1172;6,99
en;7,103951;Mysterious Skin;7,4;266;6,99
en;0,700598;The Angry Silence;7,4;7;6,99
en;0,328792;On Borrowed Time;8,2;6;7,99
en;4,418373;Kes;7,6;95;7,99
en;1,242836;The Cocoanuts;7,1;21;6,99
en;0,111834;Crackerjack;7,3;3;6,99
en;13,165421;Star Wars: Episode III - Revenge of the Sith;7,1;4200;6,99
en;6,363884;Cinderella Man;7,3;630;6,99
en;28,505341;Batman Begins;7,5;7511;7,99
en;2,488542;Saint Ralph;7,3;24;6,99
en;7,275868;Modigliani;7,3;42;6,99
en;0,324143;Julie Johnson;7,5;4;7,99
en;1,640077;A Time to Love and a Time to Die;7,4;19;6,99
en;11,919995;Serenity;7,4;1287;6,99
en;1,049345;The Star;7,2;13;6,99
en;8,535339;Grizzly Man;7,3;213;6,99
en;1,022321;The Best of Everything;7,2;7;6,99
en;2,580159;Strings;7,1;18;6,99
en;7,738924;Everything is Illuminated;7,4;251;6,99
en;6,908381;Why We Fight;7,8;33;7,99
en;0,706906;Chapter Two;7,5;2;7,99
en;12,920032;Corpse Bride;7,2;1957;6,99
en;7,772618;Green Street Hooligans;7,1;652;6,99
en;11,76054;Kiss Kiss Bang Bang;7,2;900;6,99
en;2,8026;No Direction Home: Bob Dylan;7,5;33;7,99
en;1,405996;Hail the Conquering Hero;7,1;17;6,99
en;0,347049;Touch the Sound;7,5;2;7,99
en;2,304455;Punishment Park;7,6;38;7,99
en;11,787044;Brokeback Mountain;7,5;1531;7,99
en;9,387212;The Proposition;7,1;221;6,99
en;12,655746;Dead Man's Shoes;7,2;155;6,99
en;14,439083;Pride & Prejudice;7,8;1406;7,99
en;24,903058;Harry Potter and the Goblet of Fire;7,5;5758;7,99
en;11,476443;Walk the Line;7,3;732;6,99
en;6,163618;The Driver;7,1;91;6,99
en;9,020372;Match Point;7,2;1134;6,99
en;7,680762;Memoirs of a Geisha;7,3;670;6,99
en;8,307157;The Organization;7,2;6;6,99
en;8,568803;Christmas in Connecticut;7,1;35;6,99
en;5,244654;Glory Road;7,2;145;6,99
en;1,861082;Over the Edge;7,7;36;7,99
en;0,327296;Sweet November;8,3;2;7,99
en;1,196395;Tea for Two;8;1;7,99
en;0,210988;Green Dolphin Street;8;1;7,99
en;2,141858;Chronos;7,4;20;6,99
en;20,214422;V for Vendetta;7,7;4562;7,99
en;9,369527;Thank You for Smoking;7,1;670;6,99
en;13,393548;Inside Man;7,3;1671;6,99
en;2,593681;Nanook of the North;7,2;50;6,99
en;11,15092;Lucky Number Slevin;7,4;1356;6,99
en;5,205826;This Film Is Not Yet Rated;7,3;118;6,99
en;1,48066;09-Nov;7,6;21;7,99
en;3,391783;Soldier Blue;7,1;42;6,99
en;10,398351;Peaceful Warrior;7,3;95;6,99
en;0,922678;Tammy and the Bachelor;7,8;7;7,99
en;8,570312;Who Killed the Electric Car?;7,2;59;6,99
en;0,090803;Blessed Event;10;1;9,99
en;5,320117;Little Miss Sunshine;7,5;1728;7,99
en;0,186921;Rock 'n' Roll Nightmare;7,2;11;6,99
en;1,982942;The Fallen Idol;7,1;32;6,99
en;2,062713;Young Mr. Lincoln;7,1;35;6,99
en;10,798092;Stranger Than Fiction;7,1;743;6,99
en;1,233446;Cabin in the Sky;7,1;8;6,99
en;11,494009;The Illusionist;7,1;1657;6,99
en;2,186467;The Music Box;7,5;39;7,99
en;1,440106;Block-Heads;7,2;19;6,99
en;0,294175;Not as a Stranger;7,2;6;6,99
en;7,735233;Apocalypto;7,3;1252;6,99
en;2,115376;St. Martin's Lane;8;5;7,99
en;18,515448;The Departed;7,9;4455;7,99
en;3,119264;Brute Force;7,1;40;6,99
en;2,583226;Deliver Us from Evil;7,5;57;7,99
en;9,424157;The Last King of Scotland;7,4;568;6,99
en;14,114606;Children of Men;7,4;2120;6,99
en;16,94556;The Prestige;8;4510;7,99
